Year,Trade_Flow,Reporter,Reporter_ISO,Partner,Partner_ISO,Trade_Value
2019,Export,Argentina,ARG,Israel,ISR,233503660
2019,Import,Argentina,ARG,Italy,ITA,1125973831
2019,Export,Argentina,ARG,Italy,ITA,1002773678
2019,Import,Argentina,ARG,Côte d'Ivoire,CIV,1263418
2019,Export,Argentina,ARG,Côte d'Ivoire,CIV,57989910
2019,Import,Argentina,ARG,Jamaica,JAM,9766360
2019,Export,Argentina,ARG,Jamaica,JAM,4019084
2019,Import,Argentina,ARG,Japan,JPN,895213827
2019,Export,Argentina,ARG,Japan,JPN,452885232
2019,Import,Argentina,ARG,Kazakhstan,KAZ,824123
2019,Export,Argentina,ARG,Kazakhstan,KAZ,20840962
2019,Import,Argentina,ARG,Jordan,JOR,2434243
2019,Export,Argentina,ARG,Jordan,JOR,170098733
2019,Import,Argentina,ARG,Kenya,KEN,384570
2019,Export,Argentina,ARG,Kenya,KEN,139909662
2019,Import,Argentina,ARG,Rep. of Korea,KOR,502290924
2019,Export,Argentina,ARG,Rep. of Korea,KOR,842700139
2019,Import,Argentina,ARG,Kuwait,KWT,9326
2019,Export,Argentina,ARG,Kuwait,KWT,52909187
2019,Import,Argentina,ARG,Kyrgyzstan,KGZ,3983
2019,Import,Argentina,ARG,Lao People's Dem. Rep.,LAO,713231
2019,Export,Argentina,ARG,Lao People's Dem. Rep.,LAO,151334
2019,Import,Argentina,ARG,Lebanon,LBN,210169
2019,Export,Argentina,ARG,Lebanon,LBN,95881776
2019,Import,Argentina,ARG,Lesotho,LSO,8166
2019,Import,Argentina,ARG,Latvia,LVA,4404354
2019,Export,Argentina,ARG,Latvia,LVA,47496510
2019,Import,Argentina,ARG,Liberia,LBR,124
2019,Export,Argentina,ARG,Liberia,LBR,807816
2019,Import,Argentina,ARG,Libya,LBY,12183088
2019,Export,Argentina,ARG,Libya,LBY,61974937
2019,Import,Argentina,ARG,Lithuania,LTU,4709394
2019,Export,Argentina,ARG,Lithuania,LTU,29025711
2019,Import,Argentina,ARG,Luxembourg,LUX,9096095
2019,Export,Argentina,ARG,Luxembourg,LUX,401127898
2019,Import,Argentina,ARG,"China, Macao SAR",MAC,325932
2019,Import,Argentina,ARG,Madagascar,MDG,1068904
2019,Export,Argentina,ARG,Madagascar,MDG,29875048
2019,Import,Argentina,ARG,Malawi,MWI,52330
2019,Export,Argentina,ARG,Malawi,MWI,1287240
2019,Import,Argentina,ARG,Malaysia,MYS,263784469
2019,Export,Argentina,ARG,Malaysia,MYS,884182869
